idx,prefab descriptor,base-idx,base-pts,,
0,prefab.0,1,15,,
1,prefab.1,2,,,
2,prefab.3,4,,,
3,prefab.4,5,,,
4,prefab.5,6,,,
5,prefab.6,7,,,
6,prefab.7,8,8,,
7,prefab.8,9,3,,
8,prefab.9,A,15,,
9,prefab.10,28,13,<check,high-way junction
10,prefab.11,4E,,,
11,prefab.12,74,8,,
12,prefab.13,9A,4,,
13,prefab.14,C0,,,
14,prefab.15,,,,
15,prefab.16,10C,,,
16,prefab.17,132,,,
17,prefab.18,158,,,
18,prefab.19,17E,,,
19,prefab.20,29,,,
20,prefab.21,4F,,,
21,prefab.22,75,,,
22,prefab.23,9B,8,,
23,prefab.24,C1,8,,
24,prefab.25,E7,3,,
25,prefab.25uk,1244FB,3,,
26,prefab.26,10D,,,
27,prefab.27,133,,,
28,prefab.28,159,8,< also 5uk,
29,prefab.29,17F,3,,
30,prefab.30,2A,1,,
31,prefab.31,50,17,
32,prefab.32,76,,,< COMPANY warehouse_orange
33,prefab.33,,,,
34,prefab.34,C2,,,
35,prefab.35,E8,2,,
35,prefab.35,9C,2,,
36,prefab.36,10E,1,,
36,prefab.36,CC6,1,,
37,prefab.38,15A,,,
38,prefab.39,180,,,
39,prefab.40,2B,,,
40,prefab.41,51,19,<check,
41,prefab.42,77,,,
42,prefab.43,9D,4,,
43,prefab.44,C3,3,,< COMPANY nbfc
44,prefab.46,10F,,,
45,prefab.47,135,,,
46,prefab.48,15B,,,
47,prefab.49,181,,,
48,prefab.50,2C,,,
49,prefab.51,52,,,
50,prefab.52,78,8,,
51,prefab.53,9E,1,,
52,prefab.54,C4,8,,
53,prefab.55,EA,8,,
54,prefab.56,,,,
55,prefab.57,136,,,
56,prefab.58,15C,,,
57,prefab.59,182,,,
58,prefab.60,2D,8,,
59,prefab.61,53,8,,
60,prefab.62,79,,,
61,prefab.63,,,,
62,prefab.64,,,,
63,prefab.65,EB,,,
64,prefab.66,111,,,
65,prefab.67,137,3,,< COMPANY heavy factory
66,prefab.68,15D,,< COMPANY light factory,
67,prefab.69,183,2,,
68,prefab.70,2E,2,,
69,prefab.71,54,0,,
70,prefab.72,7A,,,
71,prefab.73,A0,,,
72,prefab.74,C6,,,
73,prefab.75,EC,3,,
74,prefab.76,112,8,,
75,prefab.77,138,,,
76,prefab.78,15E,8,,
77,prefab.79,184,9,,
78,prefab.80,2F,3,,
79,prefab.81,55,4,<,
80,prefab.82,7B,4,<,< COMPANY car_factory
81,prefab.poor_garage,2230FBE4,4,<,
82,prefab.83,A1,2,,
83,prefab.84,C7,,,
84,prefab.85,ED,8,,
85,prefab.86,113,,,
86,prefab.87,139,,,
87,prefab.88,15F,,,
88,prefab.89,185,8,,
89,prefab.90,30,3,,
90,prefab.91,56,,,
91,prefab.92,7C,,,
92,prefab.93,A2,3,,
93,prefab.94,C8,3,,
94,prefab.95,,,,
95,prefab.96,114,,,
96,prefab.97,13A,8,,
97,prefab.98,160,,,
98,prefab.99,186,,,
99,prefab.100,78,8,,
99,prefab.100,5CC,8,,
100,prefab.101,B70,,,
101,prefab.102,1114,8,,
102,prefab.103,16B8,,,
103,prefab.104,1C5C,,,
104,prefab.105,2200,,,
105,prefab.106,27A4,3,,
106,prefab.107,2D48,,,
107,prefab.108,32EC,,,
108,prefab.109,3890,8,,
109,prefab.110,5F2,8,,
110,prefab.111,B96,,,
111,prefab.112,113A,,,
112,prefab.113,16DE,,,
113,prefab.114,1C82,,,
114,prefab.115,2226,,,
115,prefab.116,27CA,,,
116,prefab.117,2D6E,,,
117,prefab.118,3312,,,
118,prefab.119,38B6,,,
119,prefab.120,618,,,
120,prefab.121,BBC,,,
121,prefab.122,1160,,,
122,prefab.123,1704,,,
123,prefab.124,1CA8,,,
124,prefab.125,224C,,,
125,prefab.126,27F0,,,
126,prefab.127,2D94,,,
127,prefab.128,3338,,,
128,prefab.129,38DC,,,
129,prefab.130,63E,,,
130,prefab.131,BE2,15,,
131,prefab.132,1186,,,
132,prefab.133,172A,,,
133,prefab.134,1CCE,,,
134,prefab.135,2272,,,
135,prefab.136,2816,,,
136,prefab.137,2DBA,1,,
137,prefab.138,335E,,,
138,prefab.139,3902,,,
139,prefab.140,664,,,
140,prefab.141,C08,,,
141,prefab.142,11AC,0,,
142,prefab.143,1750,,,
143,prefab.144,1CF4,,,
144,prefab.145,2298,,,
145,prefab.146,283C,0,,
146,prefab.147,2DE0,,,
147,prefab.148,3384,8,,
148,prefab.149,3928,,,
149,prefab.150,68A,,,
150,prefab.151,C2E,,,
151,prefab.152,11D2,,,
152,prefab.153,1776,1,,
153,prefab.154,1D1A,,,
154,prefab.155,22BE,8,,
155,prefab.156,2862,,,
156,prefab.157,2E06,15,,
157,prefab.0uk,7B0F,,,
158,prefab.1uk,7B10,,,
159,prefab.3uk,7B12,,,
160,prefab.4uk,7B13,8,,
161,prefab.5uk,7B14,,,
162,prefab.6uk,7B15,,,
163,prefab.7uk,7B16,8,,
164,prefab.8uk,7B17,,,
165,prefab.9uk,7B18,,,
166,prefab.10uk,12443C,,,
167,prefab.12uk,124488,,,
168,prefab.18uk,12456C,,,
169,prefab.19uk,124592,8,,
170,prefab.22uk,124489,8,,
171,prefab.24uk,,,,
172,prefab.26uk,124521,8,,
173,prefab.27uk,124547,,,
174,prefab.28uk,12456D,,,
175,prefab.30uk,12443E,,,
176,prefab.38uk,12456E,,,
177,prefab.47uk,124549,,,
178,prefab.49uk,124595,,,
179,prefab.50uk,124440,,,
180,prefab.51uk,124466,,,
181,prefab.52uk,12448C,,,
182,prefab.53uk,1244B2,,,
183,prefab.54uk,1244D8,,,
184,prefab.55uk,1244FE,,,
185,prefab.57uk,12454A,,,
186,prefab.60uk,124441,,,
187,prefab.61uk,124467,,,
188,prefab.62uk,12448D,,,
189,prefab.65uk,1244FF,,,
190,prefab.66uk,124525,,,
191,prefab.71uk,124468,,,
192,prefab.72uk,12448E,8,,
193,prefab.73uk,1244B4,8,,
194,prefab.79uk,124598,,,
195,prefab.80uk,124443,,,
196,prefab.81uk,124469,,,
197,prefab.87uk,12454D,,,
198,prefab.88uk,124573,,,
199,prefab.90uk,124444,1,,
200,prefab.92uk,124490,,,
201,prefab.93uk,1244B6,,,
202,prefab.94uk,1244DC,,,
203,prefab.158,33AA,,,
204,prefab.159,394E,,,
205,prefab.160,6B0,,,
206,prefab.161,C54,,,
207,prefab.162,11F8,,,
208,prefab.163,179C,,,
209,prefab.164,1D40,0,,
210,prefab.165,22E4,15,,
211,prefab.166,2888,,,
212,prefab.167,2E2C,,,
213,prefab.168,33D0,,,
214,prefab.169,3974,,,
215,prefab.170,6D6,,,
216,prefab.171,C7A,,,
217,prefab.172,121E,2,,
218,prefab.173,17C2,,,
219,prefab.174,,,,
220,prefab.175,,,,
221,prefab.176,28AE,3,,
222,prefab.177,2E52,,,
223,prefab.178,33F6,,,
224,prefab.179,399A,8,,
225,prefab.180,6FC,,,
226,prefab.181,CA0,,,
227,prefab.183,17E8,,,
228,prefab.184,1D8C,,,
229,prefab.185,2330,,,
230,prefab.186,28D4,,,
231,prefab.187,2E78,,,
232,prefab.188,341C,,,
233,prefab.189,39C0,,,
234,prefab.190,722,,,
235,prefab.191,,,,
