idx,prefab descriptor,base-idx,base-pts,,
0,prefab.0,1,15,,
1,prefab.1,,,,
2,prefab.3,,,,
3,prefab.4,,,,
4,prefab.5,,,,
5,prefab.6,,,,
6,prefab.7,8,8,,
7,prefab.8,9,3,,
8,prefab.9,A,15,,
9,prefab.10,28,13,<check,high-way junction
10,prefab.11,,,,
11,prefab.12,74,8,,
12,prefab.13,9A,4,,
13,prefab.14,,,,
14,prefab.15,,,,
15,prefab.16,,,,
16,prefab.17,,,,
17,prefab.18,,,,
18,prefab.19,,,,
19,prefab.20,,,,
20,prefab.21,,,,
21,prefab.22,,,,
22,prefab.23,9B,8,,
23,prefab.24,C1,8,,
24,prefab.25,E7,3,,
25,prefab.25uk,1244FB,3,,
26,prefab.26,,,,
27,prefab.27,,,,
28,prefab.28,159,8,< also 5uk,
29,prefab.29,17F,3,,
30,prefab.30,2A,1,,
31,prefab.31,50,17,<check,tradeaux_warehouse
32,prefab.32,,,,
33,prefab.33,,,,
34,prefab.34,,,,
35,prefab.35,9C,2,,
36,prefab.36,CC6,1,,
37,prefab.38,,,,
38,prefab.39,,,,
39,prefab.40,,,,
40,prefab.41,51,19,<check,
41,prefab.42,,,,
42,prefab.43,9D,4,,
43,prefab.44,C3,3,,
44,prefab.46,,,,
45,prefab.47,,,,
46,prefab.48,,,,
47,prefab.49,,,,
48,prefab.50,,,,
49,prefab.51,,,,
50,prefab.52,78,8,,
51,prefab.53,9E,1,,
52,prefab.54,C4,8,,
53,prefab.55,EA,8,,
54,prefab.56,,,,
55,prefab.57,,,,
56,prefab.58,15C,,,
57,prefab.59,,,,
58,prefab.60,2D,8,,
59,prefab.61,53,8,,
60,prefab.62,,,,
61,prefab.63,,,,
62,prefab.64,,,,
63,prefab.65,,,,
64,prefab.66,,,,
65,prefab.67,137,3,,
66,prefab.68,15D,,< light factory,
67,prefab.69,183,2,,
68,prefab.70,2E,2,,
69,prefab.71,54,0,,
70,prefab.72,,,,
71,prefab.73,,,,
72,prefab.74,,,,
73,prefab.75,EC,3,,
74,prefab.76,112,8,,
75,prefab.77,,,,
76,prefab.78,15E,8,,
77,prefab.79,184,9,,
78,prefab.80,2F,3,,
79,prefab.81,55,4,<,
80,prefab.82,7B,4,<,
81,prefab.poor_garage,2230FBE4,4,<,
82,prefab.83,A1,2,,
83,prefab.84,,,,
84,prefab.85,ED,8,,
85,prefab.86,,,,
86,prefab.87,,,,
87,prefab.88,,,,
88,prefab.89,185,8,,
89,prefab.90,30,3,,
90,prefab.91,,,,
91,prefab.92,,,,
92,prefab.93,A2,3,,
93,prefab.94,C8,3,,
94,prefab.95,,,,
95,prefab.96,,,,
96,prefab.97,13A,8,,
97,prefab.98,,,,
98,prefab.99,,,,
99,prefab.100,78,8,,
100,prefab.101,,,,
101,prefab.102,1114,8,,
102,prefab.103,,,,
103,prefab.104,,,,
104,prefab.105,,,,
105,prefab.106,27A4,3,,
106,prefab.107,,,,
107,prefab.108,,,,
108,prefab.109,3890,8,,
109,prefab.110,5F2,8,,
110,prefab.111,,,,
111,prefab.112,,,,
112,prefab.113,,,,
113,prefab.114,,,,
114,prefab.115,,,,
115,prefab.116,,,,
116,prefab.117,,,,
117,prefab.118,,,,
118,prefab.119,,,,
119,prefab.120,,,,
120,prefab.121,,,,
121,prefab.122,,,,
122,prefab.123,,,,
123,prefab.124,,,,
124,prefab.125,,,,
125,prefab.126,,,,
126,prefab.127,,,,
127,prefab.128,,,,
128,prefab.129,,,,
129,prefab.130,,,,
130,prefab.131,BE2,15,,
131,prefab.132,,,,
132,prefab.133,,,,
133,prefab.134,,,,
134,prefab.135,,,,
135,prefab.136,,,,
136,prefab.137,2DBA,1,,
137,prefab.138,,,,
138,prefab.139,,,,
139,prefab.140,,,,
140,prefab.141,,,,
141,prefab.142,11AC,0,,
142,prefab.143,,,,
143,prefab.144,,,,
144,prefab.145,,,,
145,prefab.146,283C,0,,
146,prefab.147,,,,
147,prefab.148,3384,8,,
148,prefab.149,,,,
149,prefab.150,,,,
150,prefab.151,,,,
151,prefab.152,,,,
152,prefab.153,1776,1,,
153,prefab.154,,,,
154,prefab.155,22BE,8,,
155,prefab.156,,,,
156,prefab.157,2E06,15,,
157,prefab.0uk,,,,
158,prefab.1uk,,,,
159,prefab.3uk,,,,
160,prefab.4uk,7B13,8,,
161,prefab.5uk,,,,
162,prefab.6uk,,,,
163,prefab.7uk,7B16,8,,
164,prefab.8uk,,,,
165,prefab.9uk,,,,
166,prefab.10uk,,,,
167,prefab.12uk,,,,
168,prefab.18uk,,,,
169,prefab.19uk,124592,8,,
170,prefab.22uk,124489,8,,
171,prefab.24uk,,,,
172,prefab.26uk,124521,8,,
173,prefab.27uk,,,,
174,prefab.28uk,,,,
175,prefab.30uk,,,,
176,prefab.38uk,,,,
177,prefab.47uk,,,,
178,prefab.49uk,,,,
179,prefab.50uk,,,,
180,prefab.51uk,,,,
181,prefab.52uk,,,,
182,prefab.53uk,,,,
183,prefab.54uk,,,,
184,prefab.55uk,,,,
185,prefab.57uk,,,,
186,prefab.60uk,,,,
187,prefab.61uk,,,,
188,prefab.62uk,,,,
189,prefab.65uk,,,,
190,prefab.66uk,,,,
191,prefab.71uk,,,,
192,prefab.72uk,12448E,8,,
193,prefab.73uk,1244B4,8,,
194,prefab.79uk,,,,
195,prefab.80uk,,,,
196,prefab.81uk,,,,
197,prefab.87uk,,,,
198,prefab.88uk,,,,
199,prefab.90uk,124444,1,,
200,prefab.92uk,,,,
201,prefab.93uk,,,,
202,prefab.94uk,,,,
203,prefab.158,,,,
204,prefab.159,,,,
205,prefab.160,,,,
206,prefab.161,,,,
207,prefab.162,,,,
208,prefab.163,,,,
209,prefab.164,1D40,0,,
210,prefab.165,22E4,15,,
211,prefab.166,,,,
212,prefab.167,,,,
213,prefab.168,,,,
214,prefab.169,,,,
215,prefab.170,,,,
216,prefab.171,,,,
217,prefab.172,121E,2,,
218,prefab.173,,,,
219,prefab.174,,,,
220,prefab.175,,,,
221,prefab.176,28AE,3,,
222,prefab.177,,,,
223,prefab.178,,,,
224,prefab.179,399A,8,,
225,prefab.180,,,,
226,prefab.181,,,,
227,prefab.183,,,,
228,prefab.184,,,,
229,prefab.185,,,,
230,prefab.186,,,,
231,prefab.187,,,,
232,prefab.188,,,,
233,prefab.189,,,,
234,prefab.190,,,,
235,prefab.191,,,,
236,prefab.192,126A,8,,
237,prefab.193,180E,3,,
238,prefab.194,1DB2,3,,
239,prefab.195,,,,
240,prefab.196,28FA,3,,
241,prefab.197,,,,
242,prefab.198,,,,
243,prefab.199,,,,
244,prefab.200,,,,
245,prefab.201,,,,
246,prefab.202,,,,
247,prefab.203,116B9,3,,
248,prefab.204,,,,
249,prefab.205,,,,
250,prefab.206,,,,
251,prefab.207,,,,
252,prefab.208,,,,
253,prefab.209,,,,
254,prefab.210,,,,
255,prefab.211,,,,
256,prefab.212,,,,
257,prefab.213,,,,
258,prefab.214,,,,
259,prefab.215,,,,
260,prefab.216,,,,
261,prefab.217,,,,
262,prefab.218,,,,
263,prefab.219,38B7,8,,
264,prefab.220,5F2,8,,
265,prefab.221,BBD,8,,
266,prefab.222,78,8,,d
267,prefab.223,1705,8,,
268,prefab.224,,,,
269,prefab.225,,,,
270,prefab.226,,,,
271,prefab.227,,,,
272,prefab.228,,,,
273,prefab.229,,,,
274,prefab.230,,,,
275,prefab.231,,,,
276,prefab.232,,,,
277,prefab.233,,,,
278,prefab.234,1CCF,1,,
279,prefab.235,,,,
280,prefab.236,,,,
281,prefab.237,,,,
282,prefab.238,,,,
283,prefab.239,,,,
284,prefab.240,,,,
285,prefab.241,C09,1,,
286,prefab.1bus,,,,
287,prefab.2bus,,,,
288,prefab.3bus,,,,
289,prefab.4bus,,,,
290,prefab.5bus,,,,
291,prefab.6bus,,,,
292,prefab.7bus,,,,
293,prefab.8bus,,,,
294,prefab.9bus,,,,
295,prefab.10bus,,,,
296,prefab.11bus,,,,
297,prefab.12bus,,,,
298,prefab.13bus,,,,
299,prefab.14bus,,,,
300,prefab.15bus,,,,
301,prefab.16bus,,,,
302,prefab.17bus,,,,
303,prefab.18bus,,,,
304,prefab.19bus,,,,
305,prefab.20bus,,,,
306,prefab.21bus,,,,
307,prefab.22bus,,,,
308,prefab.23bus,,,,
309,prefab.24bus,,,,
310,prefab.25bus,,,,
311,prefab.26bus,03B4E835,2,,
312,prefab.27bus,,,,
313,prefab.28bus,,,,
314,prefab.29bus,,,,
315,prefab.30bus,,,,
316,prefab.242,,,,
317,prefab.243,,,,
318,prefab.244,,,,
319,prefab.245,,,,
320,prefab.246,,,,
321,prefab.247,,,,
322,prefab.248,,,,
323,prefab.249,3929,9,,
324,prefab.251,,,,
325,prefab.252,,,,
326,prefab.254,1D1B,2,,
327,prefab.255,,,,
328,prefab.256,,,,
329,prefab.257,,,,
330,prefab.258,,,,
331,prefab.259,,,,
332,prefab.260,,,,
333,prefab.261,,,,
334,prefab.262,,,,
335,prefab.263,179D,8,,
336,prefab.267,,,,
337,prefab.268,,,,
338,prefab.270,,,,
339,prefab.271,,,,
340,prefab.272,,,,
341,prefab.273,,,,
342,prefab.274,,,,
343,prefab.275,,,,
344,prefab.276,,,,
345,prefab.277,,,,
346,prefab.278,,,,
347,prefab.279,,,,
348,prefab.280,,,,
349,prefab.281,,,,
350,prefab.282,,,,
351,prefab.283,,,,
352,prefab.284,,,,
353,prefab.286,,,,
354,prefab.287,2E79,3,,
355,prefab.288,,,,
356,prefab.289,,,,
357,prefab.292,,,,
358,prefab.293,,,,
359,prefab.294,,,,
360,prefab.295,,,,
361,prefab.297,,,,
362,prefab.298,,,,
363,prefab.299,,,,
364,prefab.300,,,,
365,prefab.301,,,,
366,prefab.302,,,,
367,prefab.303,,,,
368,prefab.304,,,,
369,prefab.305,,,,
370,prefab.306,,,,
371,prefab.307,,,,
372,prefab.308,,,,
373,prefab.309,,,,
374,prefab.310,,,,
375,prefab.311,,,,
376,prefab.312,,,,
377,prefab.313,,,,
378,prefab.314,,,,
379,prefab.315,,,,
380,prefab.316,,,,
381,prefab.317,,,,
382,prefab.318,,,,
383,prefab.319,,,,
384,prefab.320,,,,
385,prefab.321,,,,
386,prefab.322,,,,
387,prefab.323,,,,
388,prefab.324,,,,
389,prefab.325,,,,
390,prefab.326,,,,
391,prefab.327,,,,
392,prefab.328,,,,
393,prefab.329,,,,
394,prefab.330,,,,
395,prefab.331,,,,
396,prefab.332,,,,
397,prefab.333,,,,
398,prefab.334,,,,
399,prefab.335,,,,
400,prefab.336,,,,
401,prefab.337,,,,
402,prefab.338,,,,
403,prefab.339,,,,
404,prefab.340,,,,
405,prefab.341,,,,
406,prefab.342,,,,
407,prefab.343,,,,
408,prefab.344,,,,
409,prefab.345,,,,
410,prefab.346,,,,
411,prefab.347,,,,
412,prefab.348,,,,
413,prefab.349,,,,
414,prefab.350,,,,
415,prefab.351,,,,
416,prefab.352,,,,
417,prefab.353,,,,
418,prefab.354,,,,
419,prefab.355,,,,
420,prefab.356,,,,
421,prefab.357,,,,
422,prefab.358,,,,
423,prefab.360,,,,
424,prefab.361,,,,
425,prefab.362,,,,
426,prefab.363,179E,4,,
427,prefab.364,,d,,
428,prefab.365,,,,
429,prefab.366,,,,
430,prefab.367,,,,
431,prefab.369,,,,
432,prefab.370,,,,
433,prefab.371,,,,
434,prefab.372,,,,
435,prefab.373,,,,
436,prefab.374,,,,
437,prefab.375,,,,
438,prefab.376,,,,
439,prefab.377,,,,
440,prefab.378,,,,
441,prefab.379,,,,
442,prefab.380,,,,
443,prefab.381,,,,
444,prefab.382,,,,
445,prefab.383,,,,
446,prefab.384,,,,
447,prefab.385,,,,
448,prefab.386,,,,
449,prefab.387,,,,
450,prefab.388,,,,
