RPM,Power,Air,Engine ,Torque,Torque Normalized,Torque Polynominal,,,,,,
,,,,,,,,,,Peak=,3.21227795,dat is 3500Nm
870,-2.534807,0.12854877,2.66335577,2901.911148,0.829117471,0.845006152,,,,F=,1089.569475,
880,-2.561246,0.12921176,2.69045776,2931.440649,0.837554471,0.851388998,,,,Readout=,1,
890,-2.596929,0.12987887,2.72680787,2971.04662,0.848870463,0.857621607,,,,,,
900,-2.625212,0.1305501,2.7557621,3002.594265,0.857884076,0.8637048,,,,,,
910,-2.645259,0.13122545,2.77648445,3025.172705,0.864335059,0.869639401,,,,,,
920,-2.671851,0.13190492,2.80375592,3054.886866,0.872824819,0.875426234,,,,,,
930,-2.691627,0.13258851,2.82421551,3077.179011,0.879194003,0.88106612,,,,,,
940,-2.712305,0.13327622,2.84558122,3100.458436,0.885845268,0.886559885,,,,,,
950,-2.734896,0.13396805,2.86886405,3125.826697,0.893093342,0.89190835,,,,,,
960,-2.75317,0.134664,2.887834,3146.495776,0.898998793,0.897112339,,,,,,
970,-2.769156,0.13536407,2.90452007,3164.676408,0.904193259,0.902172676,,,,,,
980,-2.793452,0.13606826,2.92952026,3191.915852,0.911975958,0.907090182,,,,,,
990,-2.811268,0.13677657,2.94804457,3212.099375,0.917742679,0.911865683,,,,,,
1000,-2.82917,0.137489,2.966659,3232.38109,0.923537454,0.9165,,,,,,
1010,-2.84295,0.13820555,2.98115555,3248.176088,0.928050311,0.920993957,,,,,,
1020,-2.855906,0.13892622,2.99483222,3263.07777,0.932307934,0.925348378,,,,,,
1030,-2.868761,0.13965101,3.00841201,3277.873895,0.936535399,0.929564084,,,,,,
1040,-2.878275,0.14037992,3.01865492,3289.034257,0.939724073,0.933641901,,,,,,
1050,-2.885683,0.14111295,3.02679595,3297.904475,0.942258421,0.93758265,,,,,,
1060,-2.892833,0.1418501,3.0346831,3306.498072,0.944713735,0.941387155,,,,,,
1070,-2.904261,0.14259137,3.04685237,3319.757338,0.948502096,0.94505624,,,,,,
1080,-2.916687,0.14333676,3.06002376,3334.108482,0.952602423,0.948590726,,,,,,
1090,-2.921324,0.14408627,3.06541027,3339.977459,0.954279274,0.951991439,,,,,,
1100,-2.928591,0.1448399,3.0734309,3348.716493,0.956776141,0.9552592,,,,,,
1110,-2.935698,0.14559765,3.08129565,3357.285684,0.959224481,0.958394833,,,,,,
1120,-2.944954,0.14635952,3.09131352,3368.200849,0.9623431,0.961399162,,,,,,
1130,-2.954383,0.14712551,3.10150851,3379.308999,0.965516857,0.964273008,,,,,,
1140,-2.960399,0.14789562,3.10829462,3386.702938,0.967629411,0.967017197,,,,,,
1160,-2.970973,0.1494482,3.1204212,3399.915689,0.971404483,0.972119891,,,,,,
1170,-2.977574,0.15023067,3.12780467,3407.960493,0.973702998,0.974480044,,,,,,
1180,-2.983522,0.15101726,3.13453926,3415.298296,0.975799513,0.97671383,,,,,,
1190,-2.989693,0.15180797,3.14150097,3422.883563,0.977966732,0.978822075,,,,,,
1200,-2.994056,0.1526028,3.1466588,3428.503377,0.979572393,0.9808056,,,,,,
1210,-2.998276,0.15340175,3.15167775,3433.971872,0.981134821,0.982665229,,,,,,
1220,-3.004381,0.15420482,3.15858582,3441.498694,0.983285341,0.984401786,,,,,,
1230,-3.010113,0.15501201,3.16512501,3448.623596,0.985321027,0.986016092,,,,,,
1240,-3.012528,0.15582332,3.16835132,3452.138885,0.986325396,0.987508973,,,,,,
1250,-3.017123,0.15663875,3.17376175,3458.033924,0.988009693,0.98888125,,,,,,
1260,-3.020354,0.1574583,3.1778123,3462.44728,0.989270651,0.990133747,,,,,,
1270,-3.024368,0.15828197,3.18264997,3467.718257,0.990776645,0.991267288,,,,,,
1280,-3.02716,0.15910976,3.18626976,3471.66227,0.991903506,0.992282694,,,,,,
